Name,Age,Position,Player Nationality,Market Value,Left,Joined,Fee
João Mário,32,Left Winger,Portugal,2.3,Benfica,Besiktas,2.0
Ismail Jakobs,25,Left-Back,Senegal,7.0,Monaco,Galatasaray,8.0
Stiven Shpendi,21,Centre-Forward,Albania,1.8,Cesena,FC Empoli,2.2
Sofyan Amrabat,28,Defensive Midfield,Morocco,20.0,Fiorentina,Fenerbahce,12.0
Felix Uduokhai,27,Centre-Back,Germany,8.0,FC Augsburg,Besiktas,5.0
Nico González,27,Right Winger,Argentina,28.0,Fiorentina,Juventus,28.1
Berat Özdemir,26,Defensive Midfield,Türkiye,4.5,Al-Ettifaq,Basaksehir,
Ali Sowe,30,Centre-Forward,The Gambia,1.9,Rostov,Without Club,
Michele Di Gregorio,27,Goalkeeper,Italy,18.0,Monza,Juventus,14.3
Estêvão,18,Right Winger,Brazil,55.0,Palmeiras,Chelsea,34.0
Luka Vuskovic,18,Centre-Back,Croatia,12.0,Hajduk Split,Tottenham,11.0
Kendry Páez,18,Attacking Midfield,Ecuador,12.0,Independiente,Chelsea,10.0
